dataset,nu,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
mammography,0.05,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,0.1,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,0.15,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,0.2,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,0.3,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,0.5,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
satellite,0.01,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.05,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.1,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.15,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.2,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.3,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,0.5,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
shuttle,0.01,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,0.05,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,0.1,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,0.15,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,0.2,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,0.3,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
