dataset,n_neighbors,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
graves_fuzzyx,15,0.138,0.45928639353158773,0.03795153404258959,0.1229967499043673,0.007427534386291381,0.020010934937124112,0.026962104856674943
graves_fuzzyx,20,0.138,0.4645637961238176,0.048774914116900527,0.1257532489459273,0.010684331156125014,0.014509803921568625,0.01786789921552081
graves_fuzzyx,30,0.138,0.4670789706900071,0.05720533844077965,0.13012766732415235,0.015885279328411925,0.028427672955974842,0.027847931664143535
graves_fuzzyx,50,0.138,0.3870500796246864,0.06371140482841149,0.1186073003110284,0.019305638119453235,0.07289030657451709,0.07007708252763778
graves_fuzzyx,100,0.138,0.08222878530211505,0.02571614191964005,0.07744504963051678,0.001571014060748725,0.0,0.0
graves_ring_outliers,5,0.02912621359223301,0.322,0.10116625480421378,0.078399216130149,0.05784621453019973,0.08023809523809525,0.06575740476310739
graves_ring_outliers,10,0.02912621359223301,0.9418333333333333,0.010585629672133647,0.6630209961347887,0.2226289073484099,0.6053613053613053,0.2503409686261888
graves_ring_outliers,15,0.02912621359223301,0.9914999999999999,0.0042295258468164855,0.8428062678062679,0.08673134880444015,0.7097435897435898,0.10329737874197895
graves_ring_outliers,20,0.02912621359223301,1.0,0.0,1.0,0.0,0.9664335664335665,0.04134753985760694
graves_ring_outliers,30,0.02912621359223301,1.0,0.0,1.0,0.0,0.9846153846153847,0.03076923076923075
graves_ring_outliers,50,0.02912621359223301,1.0,0.0,1.0,0.0,0.9846153846153847,0.03076923076923075
graves_ring_outliers,100,0.02912621359223301,0.8796666666666667,0.08185115216727931,0.2346125282890407,0.20253881606777469,0.11333333333333333,0.15719768163402129
graves_zigzag_outliers,5,0.10714285714285714,0.434,0.2527220695634721,0.16369542669038933,0.1361265508158585,0.12078431372549019,0.1823660126034023
graves_zigzag_outliers,10,0.10714285714285714,0.24933333333333332,0.10188010382579886,0.1120322739151349,0.025095844529602798,0.03333333333333333,0.06666666666666667
graves_zigzag_outliers,15,0.10714285714285714,0.976,0.018306040290327938,0.8383520074696547,0.1389301949577591,0.7634632034632036,0.08442761597020224
graves_zigzag_outliers,20,0.10714285714285714,0.9966666666666667,0.002981423969999739,0.9746031746031745,0.02308418979722063,0.8357575757575757,0.06900579552722559
graves_zigzag_outliers,30,0.10714285714285714,0.8173333333333332,0.04891716354091771,0.2788653778282261,0.05288336786355821,0.0,0.0
graves_zigzag_outliers,50,0.10714285714285714,1.0,0.0,1.0,0.0,1.0,0.0
graves_zigzag_outliers,100,0.10714285714285714,1.0,0.0,1.0,0.0,1.0,0.0
sipu_flame,5,0.05,0.8023188405797101,0.08206539108060913,0.34125965537730246,0.17650253848950181,0.2,0.1
sipu_flame,10,0.05,0.7996457326892109,0.07690013700498224,0.31841156664686077,0.2124706881823675,0.13,0.1661324772583615
sipu_flame,15,0.05,0.74768115942029,0.07759897832836767,0.29288741487270903,0.21572614010739913,0.16666666666666666,0.21081851067789198
sipu_flame,20,0.05,0.7234782608695653,0.055773025317804155,0.2847114253995059,0.2141411759636361,0.18,0.22271057451320087
sipu_flame,30,0.05,0.5195813204508857,0.11985808512380486,0.2505938690387758,0.2288023882175008,0.13714285714285715,0.17180910146711897
sipu_flame,50,0.05,0.2651046698872786,0.20735902132112694,0.23386638998621084,0.23469259520305893,0.14666666666666667,0.1808621328833405
sipu_flame,100,0.05,0.23082125603864734,0.23320842839873562,0.23262188048039864,0.2359117866608928,0.14666666666666667,0.1808621328833405
wut_x2,5,0.08333333333333333,0.8636363636363636,0.10061792555081209,0.6070707070707071,0.23779567056765422,0.4066666666666666,0.2585429257288709
wut_x2,10,0.08333333333333333,0.9772727272727273,0.020327890704543525,0.8,0.18708286933869708,0.7133333333333334,0.1185092588975412
wut_x2,15,0.08333333333333333,0.9545454545454545,0.047673129462279626,0.7300000000000001,0.27088332871880055,0.5333333333333333,0.3040467800264368
wut_x2,20,0.08333333333333333,0.9227272727272726,0.08455034198971945,0.6616666666666666,0.29124254878403705,0.4933333333333333,0.29089898972361905
wut_x2,30,0.08333333333333333,0.9454545454545453,0.03082877265056941,0.6833333333333333,0.1855921454276674,0.48,0.26127890589687236
wut_x2,50,0.08333333333333333,0.8272727272727274,0.12077572959624024,0.5257936507936508,0.31214801290444166,0.32666666666666666,0.3057958650981258
wut_x2,100,0.08333333333333333,0.9431818181818181,0.05926547641093316,0.6888888888888888,0.2455781789477816,0.16,0.32
