dataset,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
cardio,7,2.9769,0.0961223375204806,0.651523521795425,0.022642917886447678,0.3460004627878652,0.04156517277026672,0.4103345981058043,0.052201094124597065
cardio,10,2.9769,0.0961223375204806,0.6721665947345706,0.028247252426114953,0.3553286657165985,0.0463456229951545,0.4230235570108988,0.06303586928158515
cardio,15,2.9769,0.0961223375204806,0.7281139404402245,0.03556152704278917,0.4371684192725821,0.03571339559288559,0.46516071510339696,0.05329170545184908
cardio,20,2.9769,0.0961223375204806,0.752647101136527,0.028964652679128757,0.4806087417623801,0.03462900606806238,0.47458204877559707,0.03483585895881096
mammography,2,0.4798,0.023249575248144506,0.814253476823007,0.019596484730920898,0.1805513194162917,0.0392983094960469,0.19843665528043908,0.024785380394184722
mammography,3,0.4798,0.023249575248144506,0.8194780042465309,0.019105861802442788,0.1734385912890925,0.03864211147916717,0.18922238824298274,0.023493086536638494
mammography,5,0.4798,0.023249575248144506,0.8224425451330925,0.018785117142495568,0.20013664607479523,0.04624568435617231,0.18367080969938535,0.019892582591768907
mammography,7,0.4798,0.023249575248144506,0.8338120634426304,0.020229584421806064,0.19043567126727995,0.03886372169207916,0.18163538589621292,0.01694349173425123
mammography,10,0.4798,0.023249575248144506,0.8488111607485397,0.019428868400744738,0.2041311913465996,0.052720676068102976,0.18149582411940435,0.013176683466506859
mammography,15,0.4798,0.023249575248144506,0.8567788264074128,0.015488517769175024,0.2279041638718934,0.051958618693121794,0.17912060087899678,0.015646227943411938
mammography,20,0.4798,0.023249575248144506,0.8539072879974571,0.01663107940840187,0.20452863472733882,0.04354144557860599,0.16154063840831495,0.011476836069894074
satellite,2,2.0889,0.3163947163947164,0.6311004525359072,0.015857765313772212,0.48152653311779436,0.02229278848417965,0.19479433615288366,0.020148737628079023
satellite,3,2.0889,0.3163947163947164,0.6331812122882281,0.016193654994112065,0.48880200547292646,0.02347582367655005,0.22585094792896226,0.020746701352293825
satellite,5,2.0889,0.3163947163947164,0.639640940403155,0.015332737810379974,0.5188801545223091,0.020449311795310447,0.30572935231745957,0.017810287299965408
satellite,7,2.0889,0.3163947163947164,0.6447110939645754,0.014413549528930822,0.5407823484130232,0.017541418933205963,0.3455277090953496,0.015407698769688897
satellite,10,2.0889,0.3163947163947164,0.6460304991120728,0.013687586872707143,0.5439867143094622,0.016264119264481465,0.37099908151646116,0.005676141313737644
satellite,15,2.0889,0.3163947163947164,0.6493512507830552,0.014714997450310883,0.5479077116494097,0.017151242085519713,0.386762874967689,0.012371323395917226
satellite,20,2.0889,0.3163947163947164,0.6528853735974431,0.015924944580386152,0.5493461579814163,0.016966870737907695,0.39625143272157926,0.011630816662162528
shuttle,2,0.0798,0.0715114976475141,0.6020476001478849,0.013083690159478727,0.159849799771585,0.015687721750373227,0.20129055976410762,0.015594749478651452
shuttle,3,0.0798,0.0715114976475141,0.6039564924974823,0.013221378392854023,0.1682592941239381,0.01733455871187154,0.21137109974801443,0.017934778136575753
shuttle,5,0.0798,0.0715114976475141,0.6121179541022983,0.012748721195420573,0.17333047302924087,0.01637118378581045,0.21508295185073875,0.011195668232865108
shuttle,7,0.0798,0.0715114976475141,0.620912262313956,0.011975997663530873,0.17920193392090605,0.017038642855931894,0.2151621222013184,0.007836680264639226
shuttle,10,0.0798,0.0715114976475141,0.633358927359272,0.013977815460440279,0.17693830333495514,0.020395221555709494,0.21285561322879185,0.014098006145119413
shuttle,15,0.0798,0.0715114976475141,0.6651450518253729,0.009348316557140914,0.16693085912104957,0.01662077046416271,0.21106675962286575,0.008253018981318489
shuttle,20,0.0798,0.0715114976475141,0.7141026420867216,0.006714491831431446,0.1685976321241387,0.01149769985494414,0.21893415439681677,0.006312575050860989
fcps_target,2,0.1924,0.015584415584415584,0.8304868130591379,0.07344034220415588,0.3016190875122009,0.3184961307026918,0.29333333333333333,0.36172426576668104
fcps_target,3,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.6147619047619047,0.18546014356892887
fcps_target,5,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.26818546315113817,0.10171577647713945
fcps_target,7,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.11531112814833747,0.028347135699232837
fcps_target,10,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.07139242986329009,0.01654470488870397
fcps_target,15,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.06304270807839447,0.015396058343785437
fcps_target,20,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.06253850639772221,0.014582564980876043
graves_fuzzyx,2,0.1392,0.138,0.32017578954331205,0.02997864403153186,0.0994906655242003,0.0034964031825895025,0.0,0.0
graves_fuzzyx,3,0.1392,0.138,0.3171782970630262,0.03009294397810419,0.09906228096082062,0.0035028023193821424,0.0,0.0
graves_fuzzyx,5,0.1392,0.138,0.2952474215328766,0.025259115732511106,0.0956877520027983,0.002709840521518931,0.0,0.0
graves_fuzzyx,7,0.1392,0.138,0.26180935630962515,0.0281857640743143,0.09184293909839314,0.0026546608256514522,0.0,0.0
graves_fuzzyx,10,0.1392,0.138,0.2056944720054681,0.022482722825971045,0.08648208069641995,0.0018584871393578198,0.005479452054794521,0.01095890410958904
graves_fuzzyx,15,0.1392,0.138,0.11344706789827101,0.011342943995158585,0.0795976521515708,0.0016929384788636694,0.0541973303127987,0.01793859934019034
graves_fuzzyx,20,0.1392,0.138,0.034256289781225926,0.014315997251793753,0.07608112896993177,0.0018602383169366058,0.09635842564235018,0.02915321565126325
graves_ring_outliers,2,0.0838,0.02912621359223301,0.47133333333333327,0.0739493069609175,0.04864230276535462,0.03099042840887534,0.04444444444444444,0.08888888888888888
graves_ring_outliers,3,0.0838,0.02912621359223301,0.47833333333333333,0.06423048774184702,0.04924118479121392,0.030531490121460687,0.03636363636363636,0.07272727272727272
graves_ring_outliers,5,0.0838,0.02912621359223301,0.4328333333333333,0.027661646130819253,0.029595845053391773,0.002498567299531547,0.014814814814814814,0.029629629629629627
graves_ring_outliers,7,0.0838,0.02912621359223301,0.58,0.16978663080466616,0.3229145447798508,0.2625889380036186,0.04787434944770168,0.032015038252025264
graves_ring_outliers,10,0.0838,0.02912621359223301,1.0,0.0,1.0,0.0,0.10773829845595258,0.009194323602915121
graves_ring_outliers,15,0.0838,0.02912621359223301,1.0,0.0,1.0,0.0,0.10773829845595258,0.009194323602915121
graves_ring_outliers,20,0.0838,0.02912621359223301,1.0,0.0,1.0,0.0,0.10749587421352833,0.00884521916178093
graves_zigzag_outliers,2,0.161,0.10714285714285714,0.07866666666666668,0.04982636517614612,0.06810277025004519,0.0024689664001678723,0.0,0.0
graves_zigzag_outliers,3,0.161,0.10714285714285714,0.07600000000000001,0.04767482447674967,0.06797460630937033,0.00236626031678398,0.0,0.0
graves_zigzag_outliers,5,0.161,0.10714285714285714,0.06266666666666668,0.03708249062712902,0.06716059757696169,0.001756522920161407,0.0,0.0
graves_zigzag_outliers,7,0.161,0.10714285714285714,0.05666666666666668,0.03313272970610447,0.06690027082669461,0.0015512300130283093,0.0,0.0
graves_zigzag_outliers,10,0.161,0.10714285714285714,0.05666666666666668,0.03313272970610447,0.06690027082669461,0.0015512300130283093,0.0,0.0
graves_zigzag_outliers,15,0.161,0.10714285714285714,1.0,0.0,1.0,0.0,0.2852057705790227,0.015438343372805802
