dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
cardio,0.5,1.4885,5,2.9769,0.0961223375204806,0.731555651465017,0.04857335011261255,0.3819798906957086,0.06123304031358067,0.2135516650385684,0.018072160454117855
cardio,0.5,1.4885,7,2.9769,0.0961223375204806,0.7484707236368868,0.04764252985347055,0.44086613945629904,0.04383628577493768,0.20483705390600063,0.015518580809109249
cardio,0.5,1.4885,10,2.9769,0.0961223375204806,0.7695501846257132,0.06122543588112041,0.4537584181238644,0.04266084328602788,0.1985404396885357,0.009235984305039665
cardio,0.5,1.4885,15,2.9769,0.0961223375204806,0.8752414520692466,0.021877657505231688,0.5183156300279526,0.04663299603091442,0.19905446573799454,0.004891701746615177
cardio,0.5,1.4885,20,2.9769,0.0961223375204806,0.8790811873591331,0.026967246257849787,0.5261439250050909,0.059246359359155835,0.19133454889962592,0.003042876461574549
cardio,0.75,2.2327,2,2.9769,0.0961223375204806,0.545620773989354,0.03574739184779655,0.2291294004791225,0.0478922916762436,0.22644629848482176,0.05386396072554482
cardio,0.75,2.2327,3,2.9769,0.0961223375204806,0.5963070061861602,0.05943425447224769,0.27774728779459695,0.04404431723662263,0.263319924588412,0.048658410866991894
cardio,0.75,2.2327,5,2.9769,0.0961223375204806,0.6799937658850045,0.04209401035511294,0.3449277718255292,0.057957399414418624,0.32113518952055975,0.02622869506674274
cardio,0.75,2.2327,7,2.9769,0.0961223375204806,0.7156140603270512,0.06239085756998757,0.3751657381811004,0.044145571457033544,0.3121080430689146,0.02849348576846087
cardio,0.75,2.2327,10,2.9769,0.0961223375204806,0.7536800460365415,0.04723453909224245,0.4750263319041901,0.04647230665862355,0.28466209439960055,0.024537255649671342
cardio,0.75,2.2327,15,2.9769,0.0961223375204806,0.779405361338896,0.04459422843002402,0.49551833524926686,0.04059896619161432,0.26059811403937794,0.02294069672593017
cardio,0.75,2.2327,20,2.9769,0.0961223375204806,0.8142080276219248,0.029058745817532993,0.4964174911172311,0.03709671499411068,0.26645772191072437,0.023487316922405757
cardio,1.0,2.9769,2,2.9769,0.0961223375204806,0.5412333956744833,0.016875133225770785,0.21479819651802723,0.03449188726919991,0.23025578652513637,0.05317301039045913
cardio,1.0,2.9769,3,2.9769,0.0961223375204806,0.5729928547451205,0.0298241447464247,0.26530608070951817,0.028902894745690404,0.291534965034965,0.05795158563885553
cardio,1.0,2.9769,5,2.9769,0.0961223375204806,0.6252198724404162,0.039988943507149564,0.3296749467490094,0.05419740810621288,0.35779407535231517,0.06158849575839565
cardio,1.0,2.9769,7,2.9769,0.0961223375204806,0.651523521795425,0.022642917886447678,0.3460004627878652,0.04156517277026672,0.4103345981058043,0.052201094124597065
cardio,1.0,2.9769,10,2.9769,0.0961223375204806,0.6721665947345706,0.028247252426114953,0.3553286657165985,0.0463456229951545,0.4230235570108988,0.06303586928158515
cardio,1.0,2.9769,15,2.9769,0.0961223375204806,0.7281139404402245,0.03556152704278917,0.4371684192725821,0.03571339559288559,0.46516071510339696,0.05329170545184908
cardio,1.0,2.9769,20,2.9769,0.0961223375204806,0.752647101136527,0.028964652679128757,0.4806087417623801,0.03462900606806238,0.47458204877559707,0.03483585895881096
cardio,1.5,4.4654,2,2.9769,0.0961223375204806,0.5319651848654869,0.015951181557897952,0.19713988286696,0.0194264628751987,0.07455350086929033,0.053344574955357195
cardio,1.5,4.4654,3,2.9769,0.0961223375204806,0.5350179830240254,0.012873247669038974,0.20169883192361243,0.027299598234761614,0.08371448371448371,0.05245314874917306
cardio,1.5,4.4654,5,2.9769,0.0961223375204806,0.5553325660576415,0.024857294224203,0.26904894638312216,0.044918146428890894,0.19843830965782183,0.02690473617950298
cardio,1.5,4.4654,7,2.9769,0.0961223375204806,0.5688495660096868,0.022997259468364978,0.29186784665927235,0.04219939981319318,0.22872616134102236,0.027293471507459324
cardio,1.5,4.4654,10,2.9769,0.0961223375204806,0.5727631515849037,0.02077305689478488,0.2948163095674229,0.03972318873423795,0.24266075388026603,0.036856110339489025
cardio,1.5,4.4654,15,2.9769,0.0961223375204806,0.5760921689924711,0.02410872815377341,0.29076190318626216,0.050645899872041836,0.28092880608078175,0.06824251106867271
cardio,1.5,4.4654,20,2.9769,0.0961223375204806,0.5898388721047331,0.023905310541197773,0.3047055205268435,0.044242727930312274,0.2872321260520018,0.06802432009290836
cardio,2.0,5.9539,2,2.9769,0.0961223375204806,0.5292212151728768,0.016363790858224016,0.18903892274865777,0.024197246472400832,0.05378536431168011,0.04772795434768256
cardio,2.0,5.9539,3,2.9769,0.0961223375204806,0.5323459454275165,0.015619512782314214,0.19738239724283815,0.01879174265928649,0.06489647542279121,0.03970584930046154
cardio,2.0,5.9539,5,2.9769,0.0961223375204806,0.5379648012276411,0.016856152765774974,0.23142711839463517,0.02468444243690983,0.11559373138320508,0.037637776838729015
