dataset,eps_fraction,eps_abs,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
satellite,0.75,1.5667,2.0889,0.3163947163947164,0.6525027471427883,0.014997758352373864,0.550713202027232,0.015816224798851055,0.47119514471501595,0.01719405062097307
satellite,1.0,2.0889,2.0889,0.3163947163947164,0.639640940403155,0.015332737810379974,0.5188801545223091,0.020449311795310447,0.30572935231745957,0.017810287299965408
satellite,1.5,3.1334,2.0889,0.3163947163947164,0.629754917518875,0.015463178426107772,0.47733463442248103,0.020835672738934247,0.03551354126593996,0.01217414039405567
satellite,2.0,4.1778,2.0889,0.3163947163947164,0.6295907590456421,0.0155356514300691,0.47827588477867866,0.02404009925932173,0.001958387266887195,0.002398527755779096
satellite,3.0,6.2667,2.0889,0.3163947163947164,0.6295902006359928,0.01553596982110264,0.4781939846967786,0.024086217166292556,0.0,0.0
shuttle,0.25,0.02,0.0798,0.0715114976475141,0.6583809090174163,0.009504155549922686,0.18540394455458734,0.017639784701652235,0.15321587284820032,0.002245737209740298
shuttle,0.5,0.0399,0.0798,0.0715114976475141,0.6259185963759547,0.013118310531025083,0.17619010600061824,0.018713616809206753,0.1853258749388392,0.009255109092019835
shuttle,0.75,0.0599,0.0798,0.0715114976475141,0.6137130242512849,0.012016178463810387,0.17406469838376976,0.016268461286392075,0.20496517208951248,0.01038038479062865
shuttle,1.0,0.0798,0.0798,0.0715114976475141,0.6121179541022983,0.012748721195420573,0.17333047302924087,0.01637118378581045,0.21508295185073875,0.011195668232865108
shuttle,1.5,0.1197,0.0798,0.0715114976475141,0.6027490824723241,0.013565839783099031,0.16682609154302472,0.016106556758705814,0.19264090776019066,0.01310396739256335
shuttle,2.0,0.1597,0.0798,0.0715114976475141,0.6009664277597438,0.013394490152044072,0.16094334550693323,0.01610535771590127,0.15656753294532905,0.02098628420712403
shuttle,3.0,0.2395,0.0798,0.0715114976475141,0.6001225087356857,0.01331524915159703,0.15564109069354531,0.015579027805850642,0.12373016648511845,0.022297793629226247
fcps_target,0.25,0.0481,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.03622124529971245,0.006890410841276511
fcps_target,0.5,0.0962,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.06426501845315394,0.014482394451245483
fcps_target,0.75,0.1443,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.09327559878850257,0.020919956605003627
fcps_target,1.0,0.1924,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.26818546315113817,0.10171577647713945
fcps_target,1.5,0.2885,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,0.9199999999999999,0.0979795897113271
fcps_target,2.0,0.3847,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,1.0,0.0
fcps_target,3.0,0.5771,0.1924,0.015584415584415584,1.0,0.0,1.0,0.0,1.0,0.0
graves_fuzzyx,0.25,0.0348,0.1392,0.138,0.03802928723280922,0.01947591162954948,0.07635462811345187,0.0011154305375702543,0.22535468464672004,0.006317615426948794
graves_fuzzyx,0.5,0.0696,0.1392,0.138,0.20004359087065096,0.024456920050545353,0.08567759197019412,0.0024370176267813886,0.13326137865587023,0.018343131922987945
graves_fuzzyx,0.75,0.1044,0.1392,0.138,0.2409115301809212,0.04105894517874183,0.09044116079793212,0.005118267319415355,0.015584415584415584,0.03116883116883117
graves_fuzzyx,1.0,0.1392,0.1392,0.138,0.2952474215328766,0.025259115732511106,0.0956877520027983,0.002709840521518931,0.0,0.0
graves_fuzzyx,1.5,0.2088,0.1392,0.138,0.3192647465701639,0.031299429622586646,0.0993888320403363,0.0036597029512020047,0.0,0.0
graves_fuzzyx,2.0,0.2784,0.1392,0.138,0.32374666689426734,0.0324739948351896,0.10019969348919985,0.004009993186016451,0.0,0.0
graves_fuzzyx,3.0,0.4176,0.1392,0.138,0.3247977643208857,0.032263723371108145,0.10039562930657028,0.004067936021531424,0.0,0.0
graves_ring_outliers,0.25,0.0209,0.0838,0.02912621359223301,1.0,0.0,1.0,0.0,0.05979462980877933,0.0014112182122917854
graves_ring_outliers,0.5,0.0419,0.0838,0.02912621359223301,0.5783333333333335,0.14878489319969435,0.14849943177278405,0.21027026692318468,0.06232890883626178,0.0149308050941257
graves_ring_outliers,0.75,0.0628,0.0838,0.02912621359223301,0.36983333333333335,0.03158058475287203,0.0253666599117858,0.0012542848304500668,0.018190590415962493,0.009276199622553612
graves_ring_outliers,1.0,0.0838,0.0838,0.02912621359223301,0.4328333333333333,0.027661646130819253,0.029595845053391773,0.002498567299531547,0.014814814814814814,0.029629629629629627
