dataset,n_estimators,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
mammography,50,0.023249575248144506,0.8532492086919123,0.021628305919001275,0.1859252567419038,0.04866440716144895,0.21093541439547847,0.04966877010760315
mammography,100,0.023249575248144506,0.8628477395250412,0.021327442260526904,0.24075878808335513,0.05659022249483919,0.25829050066628595,0.05723159892128207
mammography,200,0.023249575248144506,0.8565852855704994,0.022960096726995595,0.2165294518078194,0.055118630413252795,0.2401761066794939,0.07262894221088118
mammography,500,0.023249575248144506,0.8607228879053823,0.02349358711652131,0.21616166148316213,0.05547397944282578,0.22931038012813687,0.05694074020932803
satellite,10,0.3163947163947164,0.722885722601917,0.03230974206724109,0.6833751364792229,0.00930999966080657,0.6011522259031944,0.015130885609060883
satellite,25,0.3163947163947164,0.6978647333796901,0.035919946975266036,0.6697778751899237,0.023059980583877246,0.5865177817971395,0.027342584249891878
satellite,50,0.3163947163947164,0.6818413885603752,0.016254056210978,0.649962989206722,0.006356384893327792,0.5636378417903745,0.009044399512879553
satellite,100,0.3163947163947164,0.6981078200778974,0.017195740418044204,0.6627579967815789,0.013576582310117328,0.5758990854805474,0.009305537425003186
satellite,200,0.3163947163947164,0.704698281559171,0.0062763965296295365,0.6703018032659529,0.013985182116664075,0.5787682746754741,0.013429018334608377
satellite,500,0.3163947163947164,0.7005655052971674,0.010460190496577712,0.6660028679388844,0.014394919552827363,0.5735164422283832,0.01713897145032429
shuttle,10,0.0715114976475141,0.9927604158073307,0.0015064640401243736,0.9440590145265139,0.016600308369416002,0.9001589791082838,0.029318275912318493
shuttle,25,0.0715114976475141,0.9948154728703829,0.002180822287515117,0.958282191486766,0.017590063080134208,0.9297504895686112,0.017307469648490458
shuttle,50,0.0715114976475141,0.9959538728040099,0.002157765939884654,0.9731599122199481,0.009185857975989265,0.9492747416839572,0.013216570442298984
shuttle,100,0.0715114976475141,0.996498689748852,0.0012583259763961686,0.9795420972324955,0.0038432795513486826,0.9573477790467125,0.008475125727052904
shuttle,200,0.0715114976475141,0.9971996554647873,0.0008712063578937947,0.9796434402983694,0.0034208730169283793,0.958269547787747,0.00830071240956226
shuttle,500,0.0715114976475141,0.9974279425289069,0.0006570260115291282,0.9812186788077965,0.0036968622905516344,0.9625251417959501,0.008468145062999461
fcps_target,10,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,25,0.015584415584415584,1.0,0.0,1.0,0.0,1.0,0.0
fcps_target,50,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
